Date, Open, High, Low, Close
2/9/23,34105.61,34252.57,33607.13,33699.88
2/8/23,34132.9,34161.65,33899.79,33949.01
2/7/23,33769.78,34240,33634.1,34156.69
2/6/23,33874.44,33962.84,33683.58,33891.02
2/3/23,33926.3,34179.58,33813.86,33926.01
